Name,Country,Impressions,Clicks,Conversion Rate
Kristin Williams,Namibia,6,5,0.83
,Anguilla,6,3,0.5
Bryan Lewis,Sweden,7,4,0.57
Olivia Cochran,Benin,4,4,1
Mark Arias,Dominica,20,,#REF!
Derrick Young,Botswana,14,9,0.64
,Estonia,,,#REF!
Lee Johnson,,7,,#REF!
Rebecca Williamson,Qatar,0,0,#REF!
,Bermuda,7,3,0.43
Louis Tanner,Bulgaria,10,9,0.9
Eric Carter,United Kingdom,0,0,#N/A
Travis Beltran,Niger,,,#REF!
Joseph Sanchez,Eritrea,4,0,0
David Johnston,Gabon,1,0,0
Nancy Hines,Saint Kitts and Nevis,19,7,0.37
Amanda Miller,Tajikistan,6,4,0.67
Laura Patel,Mexico,,,#REF!
Tiffany Lopez,,11,,#REF!
Louis Anderson,Mauritania,10,1,0.1
Ms. Kirsten Garcia,Cayman Islands,13,3,0.23
Alicia Lawrence,Taiwan,20,3,0.15
Damon Klein,Denmark,17,13,0.76
,Netherlands Antilles,4,1,0.25
Steven Long,Barbados,15,6,0.4
Ashley Myers,Honduras,8,6,0.75
Mary Patterson,Guinea,2,0,0
Sean Ford,,16,2,0.12
Kelly Floyd,Bosnia and Herzegovina,20,3,0.15
Amy Lara,Rwanda,6,5,0.83
Kevin Anderson,,14,3,0.21
Sheri Miller,Croatia,9,8,0.89
David Blake,,10,2,0.2
Shelly Choi,Senegal,13,10,0.77
Randall Martinez,Chile,1,0,0
Albert Rodriguez,United Kingdom,13,0,0
Jason Wilson,Paraguay,4,2,0.5
Jeffrey Lester,,3,0,0
Martin Jones,Central African Republic,,,#REF!
Daniel Meyer,Dominican Republic,9,3,0.33
Antonio Mcfarland,Timor-Leste,17,4,0.24
John Hunt,Malaysia,6,2,0.33
Misty Mckinney,Denmark,4,2,0.5
Julie Kelley,Cape Verde,10,2,0.2
,Central African Republic,14,2,0.14
Cameron James,Guyana,15,2,0.13
Peter Wright,Monaco,2,0,0
Yvonne Scott,New Zealand,17,1,0.06
,Cook Islands,18,,#REF!
Edward Carpenter,Poland,3,1,0.33
